날짜,품목코드,상품명,판매가,원가,판매량,행사여부,요일,공휴일
2024-03-30,1,돼지막창,8000,1200,51,1,토,0
2024-03-30,2,차돌박이,8000,1200,20,1,토,0
2024-03-30,3,생삼겹,9000,2340,32,1,토,0
2024-03-30,4,냉삼겹,9000,1980,3,1,토,0
2024-03-30,5,물냉면,6000,2000,0,1,토,0
2024-03-30,6,비빔냉면,6000,2000,0,1,토,0
2024-03-30,7,라면,4000,500,5,1,토,0
2024-03-30,8,된장찌개,2000,700,13,1,토,0
2024-03-30,9,계란찜,1000,500,11,1,토,0
2024-03-30,10,공기밥,1000,400,25,1,토,0
2024-03-30,11,소주,4000,1350,44,1,토,0
2024-03-30,12,맥주,4000,1350,22,1,토,0
2024-03-30,13,막걸리,4000,1350,0,1,토,0
2024-03-30,14,청하,5000,1500,0,1,토,0
2024-03-30,15,음료수,2000,800,5,1,토,0
2024-03-30,16,무뼈닭발,10000,2400,0,1,토,0
2024-03-31,1,돼지막창,8000,1200,47,1,일,0
2024-03-31,2,차돌박이,8000,1200,9,1,일,0
2024-03-31,3,생삼겹,9000,2340,26,1,일,0
2024-03-31,4,냉삼겹,9000,1980,15,1,일,0
2024-03-31,5,물냉면,6000,2000,6,1,일,0
2024-03-31,6,비빔냉면,6000,2000,6,1,일,0
2024-03-31,7,라면,4000,500,1,1,일,0
2024-03-31,8,된장찌개,2000,700,15,1,일,0
2024-03-31,9,계란찜,1000,500,6,1,일,0
2024-03-31,10,공기밥,1000,400,39,1,일,0
2024-03-31,11,소주,4000,1350,32,1,일,0
2024-03-31,12,맥주,4000,1350,16,1,일,0
2024-03-31,13,막걸리,4000,1350,0,1,일,0
2024-03-31,14,청하,5000,1500,2,1,일,0
2024-03-31,15,음료수,2000,800,4,1,일,0
2024-03-31,16,무뼈닭발,10000,2400,0,1,일,0
2024-04-01,1,돼지막창,8000,1200,39,1,월,0
2024-04-01,2,차돌박이,8000,1200,11,1,월,0
2024-04-01,3,생삼겹,9000,2340,22,1,월,0
2024-04-01,4,냉삼겹,9000,1980,15,1,월,0
2024-04-01,5,물냉면,6000,2000,4,1,월,0
2024-04-01,6,비빔냉면,6000,2000,8,1,월,0
2024-04-01,7,라면,4000,500,3,1,월,0
2024-04-01,8,된장찌개,2000,700,12,1,월,0
2024-04-01,9,계란찜,1000,500,4,1,월,0
